test_idx,degree,format,learning_rate,max_iter,cycles,hw_loss,golden_loss,max_abs_err_vs_golden,mean_abs_err_vs_golden,max_abs_err_vs_true,mean_abs_err_vs_true,true_0,golden_0,hw_0,abs_err_vs_golden_0,abs_err_vs_true_0,true_1,golden_1,hw_1,abs_err_vs_golden_1,abs_err_vs_true_1,true_2,golden_2,hw_2,abs_err_vs_golden_2,abs_err_vs_true_2,true_3,golden_3,hw_3,abs_err_vs_golden_3,abs_err_vs_true_3
66,3,FP16ALT,1.000000e-02,900,1974092,4.732500e-01,9.075933e-02,8.9216e-01,4.4028e-01,8.6580e-01,4.4944e-01,2.26423843,2.29059797,1.39843750,8.9216e-01,8.6580e-01,1.44461171,1.50845152,1.85937500,3.5092e-01,4.1476e-01,1.18209445,1.17618288,1.56250000,3.8632e-01,3.8041e-01,1.21490450,1.20982688,1.07812500,1.3170e-01,1.3678e-01
67,3,FP64,1.000000e-02,900,1974092,1.343210e-01,1.164845e-01,1.8867e-01,8.8471e-02,1.5775e-01,9.6433e-02,-0.84305309,-0.81213227,-1.00080349,1.8867e-01,1.5775e-01,-1.23844893,-1.16927829,-1.11022230,5.9056e-02,1.2823e-01,1.85616693,1.81970124,1.90365215,8.3951e-02,4.7485e-02,1.86068037,1.83061697,1.80841173,2.2205e-02,5.2269e-02
67,3,FP32,1.000000e-02,900,1974092,1.343210e-01,1.164845e-01,1.8867e-01,8.8471e-02,1.5775e-01,9.6433e-02,-0.84305309,-0.81213227,-1.00080359,1.8867e-01,1.5775e-01,-1.23844893,-1.16927829,-1.11022198,5.9056e-02,1.2823e-01,1.85616693,1.81970124,1.90365219,8.3951e-02,4.7485e-02,1.86068037,1.83061697,1.80841160,2.2205e-02,5.2269e-02
67,3,FP16,1.000000e-02,900,1974092,1.331694e-01,1.164845e-01,1.4490e-01,9.8119e-02,2.0720e-01,1.0608e-01,-0.84305309,-0.81213227,-0.95703125,1.4490e-01,1.1398e-01,-1.23844893,-1.16927829,-1.03125000,1.3803e-01,2.0720e-01,1.85616693,1.81970124,1.87597656,5.6275e-02,1.9810e-02,1.86068037,1.83061697,1.77734375,5.3273e-02,8.3337e-02
67,3,FP16ALT,1.000000e-02,900,1974092,2.734115e-01,1.164845e-01,6.3803e-01,2.9758e-01,7.0720e-01,3.3924e-01,-0.84305309,-0.81213227,-0.66015625,1.5198e-01,1.8290e-01,-1.23844893,-1.16927829,-0.53125000,6.3803e-01,7.0720e-01,1.85616693,1.81970124,1.67968750,1.4001e-01,1.7648e-01,1.86068037,1.83061697,1.57031250,2.6030e-01,2.9037e-01
68,3,FP64,1.000000e-02,900,1974092,7.021379e-02,6.989087e-02,6.9238e-02,3.6355e-02,1.3172e-01,6.2656e-02,2.20243391,2.15762707,2.20103181,4.3405e-02,1.4021e-03,2.47944332,2.27848687,2.34772512,6.9238e-02,1.3172e-01,0.06805439,0.02968961,0.01605422,1.3635e-02,5.2000e-02,0.00909777,0.09374282,0.07460107,1.9142e-02,6.5503e-02
68,3,FP32,1.000000e-02,900,1974092,7.021381e-02,6.989087e-02,6.9237e-02,3.6355e-02,1.3172e-01,6.2656e-02,2.20243391,2.15762707,2.20103264,4.3406e-02,1.4013e-03,2.47944332,2.27848687,2.34772396,6.9237e-02,1.3172e-01,0.06805439,0.02968961,0.01605400,1.3636e-02,5.2000e-02,0.00909777,0.09374282,0.07460146,1.9141e-02,6.5504e-02
68,3,FP16,1.000000e-02,900,1974092,7.451655e-02,6.989087e-02,1.2190e-01,7.4917e-02,1.4189e-01,6.7372e-02,2.20243391,2.15762707,2.06054688,9.7080e-02,1.4189e-01,2.47944332,2.27848687,2.40039062,1.2190e-01,7.9053e-02,0.06805439,0.02968961,0.07116699,4.1477e-02,3.1126e-03,0.00909777,0.09374282,0.05453491,3.9208e-02,4.5437e-02
68,3,FP16ALT,1.000000e-02,900,1974092,1.997689e-01,6.989087e-02,4.7013e-01,2.7006e-01,5.1493e-01,3.4308e-01,2.20243391,2.15762707,1.68750000,4.7013e-01,5.1493e-01,2.47944332,2.27848687,2.00000000,2.7849e-01,4.7944e-01,0.06805439,0.02968961,0.25195312,2.2226e-01,1.8390e-01,0.00909777,0.09374282,0.20312500,1.0938e-01,1.9403e-01
69,3,FP64,1.000000e-02,900,1974092,1.254849e-01,9.572276e-02,3.1756e-01,1.5089e-01,4.8971e-01,2.3542e-01,1.78977107,1.68684706,1.56156767,1.2528e-01,2.2820e-01,0.89978358,1.07193129,1.38949233,3.1756e-01,4.8971e-01,1.21180126,1.23747799,1.27834124,4.0863e-02,6.6540e-02,1.77475602,1.73736288,1.61751993,1.1984e-01,1.5724e-01
69,3,FP32,1.000000e-02,900,1974092,1.254852e-01,9.572276e-02,3.1756e-01,1.5089e-01,4.8971e-01,2.3542e-01,1.78977107,1.68684706,1.56156731,1.2528e-01,2.2820e-01,0.89978358,1.07193129,1.38949394,3.1756e-01,4.8971e-01,1.21180126,1.23747799,1.27834129,4.0863e-02,6.6540e-02,1.77475602,1.73736288,1.61751938,1.1984e-01,1.5724e-01
69,3,FP16,1.000000e-02,900,1974092,2.284945e-01,9.572276e-02,6.1947e-01,3.1825e-01,7.9162e-01,4.0279e-01,1.78977107,1.68684706,1.37890625,3.0794e-01,4.1086e-01,0.89978358,1.07193129,1.69140625,6.1947e-01,7.9162e-01,1.21180126,1.23747799,1.34667969,1.0920e-01,1.3488e-01,1.77475602,1.73736288,1.50097656,2.3639e-01,2.7378e-01
69,3,FP16ALT,1.000000e-02,900,1974092,3.273237e-01,9.572276e-02,6.0872e-01,3.9393e-01,7.2522e-01,4.7847e-01,1.78977107,1.68684706,1.07812500,6.0872e-01,7.1165e-01,0.89978358,1.07193129,1.62500000,5.5307e-01,7.2522e-01,1.21180126,1.23747799,1.46093750,2.2346e-01,2.4914e-01,1.77475602,1.73736288,1.54687500,1.9049e-01,2.2788e-01
70,3,FP64,1.000000e-02,900,1974092,1.262312e-01,5.059258e-02,4.8168e-01,2.3693e-01,4.3956e-01,2.4000e-01,2.34003205,2.31108401,2.09982953,2.1125e-01,2.4020e-01,-0.97202906,-1.01415242,-0.53246917,4.8168e-01,4.3956e-01,-0.74650228,-0.71751487,-0.64121278,7.6302e-02,1.0529e-01,-2.43610836,-2.43256664,-2.61106181,1.7850e-01,1.7495e-01
70,3,FP32,1.000000e-02,900,1974092,1.262312e-01,5.059258e-02,4.8168e-01,2.3693e-01,4.3956e-01,2.4000e-01,2.34003205,2.31108401,2.09982920,2.1125e-01,2.4020e-01,-0.97202906,-1.01415242,-0.53246981,4.8168e-01,4.3956e-01,-0.74650228,-0.71751487,-0.64121282,7.6302e-02,1.0529e-01,-2.43610836,-2.43256664,-2.61106157,1.7849e-01,1.7495e-01
70,3,FP16,1.000000e-02,900,1974092,1.826624e-01,5.059258e-02,6.0033e-01,3.1240e-01,5.5821e-01,3.1546e-01,2.34003205,2.31108401,2.00000000,3.1108e-01,3.4003e-01,-0.97202906,-1.01415242,-0.41381836,6.0033e-01,5.5821e-01,-0.74650228,-0.71751487,-0.60693359,1.1058e-01,1.3957e-01,-2.43610836,-2.43256664,-2.66015625,2.2759e-01,2.2405e-01
70,3,FP16ALT,1.000000e-02,900,1974092,4.068470e-01,5.059258e-02,7.3296e-01,4.8702e-01,7.6191e-01,4.9009e-01,2.34003205,2.31108401,1.57812500,7.3296e-01,7.6191e-01,-0.97202906,-1.01415242,-0.32031250,6.9384e-01,6.5172e-01,-0.74650228,-0.71751487,-0.40429688,3.1322e-01,3.4221e-01,-2.43610836,-2.43256664,-2.64062500,2.0806e-01,2.0452e-01
71,3,FP64,1.000000e-02,900,1974092,2.853275e-01,5.485294e-02,6.9827e-01,3.9041e-01,7.3760e-01,3.6058e-01,0.46968085,0.56960278,0.13153044,4.3807e-01,3.3815e-01,-2.78434636,-2.74502031,-2.04674972,6.9827e-01,7.3760e-01,-0.20641189,-0.25019183,-0.09505917,1.5513e-01,1.1135e-01,0.25586781,0.27080741,0.00065654,2.7015e-01,2.5521e-01
